word,category,syllables,tonic
repentinamente,adverbio,re pen ti na men te,5
repetidamente,adverbio,re pe ti da men te,5
reposadamente,adverbio,re po sa da men te,5
reproductivamente,adverbio,re pro duc ti va men te,6
requetebién,adverbio,re que te bién,4
reservadamente,adverbio,re ser va da men te,5
resignadamente,adverbio,re sig na da men te,5
resolutamente,adverbio,re so lu ta men te,5
resolutivamente,adverbio,re so lu ti va men te,6
resolutoriamente,adverbio,re so lu to ria men te,6
respectivamente,adverbio,res pec ti va men te,5
respetuosamente,adverbio,res pe tuo sa men te,5
restrictivamente,adverbio,res tric ti va men te,5
resueltamente,adverbio,re suel ta men te,4
resumidamente,adverbio,re su mi da men te,5
retenidamente,adverbio,re te ni da men te,5
retóricamente,adverbio,re tó ri ca men te,2
reverentemente,adverbio,re ve ren te men te,5
revocablemente,adverbio,re vo ca ble men te,5
revueltamente,adverbio,re vuel ta men te,4
ricamente,adverbio,ri ca men te,3
ridículamente,adverbio,ri dí cu la men te,2
rígidamente,adverbio,rí gi da men te,1
rigurosamente,adverbio,ri gu ro sa men te,5
robustamente,adverbio,ro bus ta men te,4
roncamente,adverbio,ron ca men te,3
rotundamente,adverbio,ro tun da men te,4
ruborosamente,adverbio,ru bo ro sa men te,5
rudamente,adverbio,ru da men te,3
rudimentariamente,adverbio,ru di men ta ria men te,6
ruidosamente,adverbio,rui do sa men te,4
ruinmente,adverbio,ruin men te,2
rumbosamente,adverbio,rum bo sa men te,4
ruralmente,adverbio,ru ral men te,3
rústicamente,adverbio,rús ti ca men te,1
rutinariamente,adverbio,ru ti na ria men te,5
sabiamente,adverbio,sa bia men te,3
sabrosamente,adverbio,sa bro sa men te,4
sacramentalmente,adverbio,sa cra men tal men te,5
sagazmente,adverbio,sa gaz men te,3
saludablemente,adverbio,sa lu da ble men te,5
salvante,adverbio,sal van te,2
salvo,adverbio,sal vo,1
sanamente,adverbio,sa na men te,3
sangrientamente,adverbio,san grien ta men te,4
sarcásticamente,adverbio,sar cás ti ca men te,2
satisfactoriamente,adverbio,sa tis fac to ria men te,6
secamente,adverbio,se ca men te,3
secretamente,adverbio,se cre ta men te,4
secreto,adverbio,se cre to,2
secundariamente,adverbio,se cun da ria men te,5
seglarmente,adverbio,se glar men te,3
seguidamente,adverbio,se gui da men te,4
seguido,adverbio,se gui do,2
seguramente,adverbio,se gu ra men te,4
seguro,adverbio,se gu ro,2
semanalmente,adverbio,se ma nal men te,4
semejantemente,adverbio,se me jan te men te,5
semestralmente,adverbio,se mes tral men te,4
sencillamente,adverbio,sen ci lla men te,4
sensatamente,adverbio,sen sa ta men te,4
sensiblemente,adverbio,sen si ble men te,4
sensualmente,adverbio,sen sual men te,3
sentenciosamente,adverbio,sen ten cio sa men te,5
sentidamente,adverbio,sen ti da men te,4
sentimentalmente,adverbio,sen ti men tal men te,5
señaladamente,adverbio,se ña la da men te,5
separadamente,adverbio,se pa ra da men te,5
seriamente,adverbio,se ria men te,3
serpentinamente,adverbio,ser pen ti na men te,5
servicialmente,adverbio,ser vi cial men te,4
servilmente,adverbio,ser vil men te,3
sesgadamente,adverbio,ses ga da men te,4
sesudamente,adverbio,se su da men te,4
severamente,adverbio,se ve ra men te,4
sexualmente,adverbio,se xual men te,3
sí,adverbio,sí,1
sic,adverbio,sic,1
siempre,adverbio,siem pre,1
sigilosamente,adverbio,si gi lo sa men te,5
significativamente,adverbio,sig ni fi ca ti va men te,7
silenciosamente,adverbio,si len cio sa men te,5
simbólicamente,adverbio,sim bó li ca men te,2
simétricamente,adverbio,si mé tri ca men te,2
simplemente,adverbio,sim ple men te,3
simultáneamente,adverbio,si mul tá ne a men te,3
sinceramente,adverbio,sin ce ra men te,4
singularmente,adverbio,sin gu lar men te,4
siniestramente,adverbio,si nies tra men te,4
sintéticamente,adverbio,sin té ti ca men te,2
siquiera,adverbio,si quie ra,2
sistemáticamente,adverbio,sis te má ti ca men te,3
so,adverbio,so,1
soberanamente,adverbio,so be ra na men te,5
soberbiamente,adverbio,so ber bia men te,4
sobradamente,adverbio,so bra da men te,4
sobrado,adverbio,so bra do,2
sobremanera,adverbio,so bre ma ne ra,4
sobremesa,adverbio,so bre me sa,3
sobremodo,adverbio,so bre mo do,3
sobrenaturalmente,adverbio,so bre na tu ral men te,6
sobrepeine,adverbio,so bre pei ne,3
sobriamente,adverbio,so bria men te,3
socarronamente,adverbio,so ca rro na men te,5
socolor,adverbio,so co lor,3
sol,adverbio,sol,1
solamente,adverbio,so la men te,3
solapadamente,adverbio,so la pa da men te,5
solemnemente,adverbio,so lem ne men te,4
solícitamente,adverbio,so lí ci ta men te,2
sólidamente,adverbio,só li da men te,1
solidariamente,adverbio,so li da ria men te,5
solitariamente,adverbio,so li ta ria men te,5
solo,adverbio,so lo,1
sólo,adverbio,só lo,1
someramente,adverbio,so me ra men te,4
sonoramente,adverbio,so no ra men te,4
sordamente,adverbio,sor da men te,3
sosamente,adverbio,so sa men te,3
sosegadamente,adverbio,so se ga da men te,5
sospechosamente,adverbio,sos pe cho sa men te,5
suave,adverbio,sua ve,1
suavemente,adverbio,sua ve men te,3
súbitamente,adverbio,sú bi ta men te,1
súbito,adverbio,sú bi to,1
subordinadamente,adverbio,su bor di na da men te,6
subrepticiamente,adverbio,su brep ti cia men te,5
subsidiariamente,adverbio,sub si dia ria men te,5
substancialmente,adverbio,subs tan cial men te,4
sucesivamente,adverbio,su ce si va men te,5
suciamente,adverbio,su cia men te,3
sucintamente,adverbio,su cin ta men te,4
sucio,adverbio,su cio,1
suculentamente,adverbio,su cu len ta men te,5
suficientemente,adverbio,su fi cien te men te,5
sumamente,adverbio,su ma men te,3
sumariamente,adverbio,su ma ria men te,4
sumisamente,adverbio,su mi sa men te,4
suntuosamente,adverbio,sun tuo sa men te,4
superabundantemente,adverbio,su pe ra bun dan te men te,7
superficialmente,adverbio,su per fi cial men te,5
superfluamente,adverbio,su per flua men te,4
superiormente,adverbio,su pe rior men te,4
superlativamente,adverbio,su per la ti va men te,6
supersticiosamente,adverbio,su pers ti cio sa men te,6
supremamente,adverbio,su pre ma men te,4
suso,adverbio,su so,1
suspicazmente,adverbio,sus pi caz men te,4
sustancialmente,adverbio,sus tan cial men te,4
sutilmente,adverbio,su til men te,3
tácitamente,adverbio,tá ci ta men te,1
tácticamente,adverbio,tác ti ca men te,1
tal,adverbio,tal,1
talmente,adverbio,tal men te,2
también,adverbio,tam bién,2
tampoco,adverbio,tam po co,2
tan,adverbio,tan,1
tanto,adverbio,tan to,1
tarde,adverbio,tar de,1
tardíamente,adverbio,tar dí a men te,2
tasadamente,adverbio,ta sa da men te,4
taxativamente,adverbio,ta xa ti va men te,5
teatralmente,adverbio,te a tral men te,4
técnicamente,adverbio,téc ni ca men te,1
tecnológicamente,adverbio,tec no ló gi ca men te,3
tela,adverbio,te la,1
telefónicamente,adverbio,te le fó ni ca men te,3
telegráficamente,adverbio,te le grá fi ca men te,3
temerariamente,adverbio,te me ra ria men te,5
temerosamente,adverbio,te me ro sa men te,5
temperadamente,adverbio,tem pe ra da men te,5
tempestivamente,adverbio,tem pes ti va men te,5
tempestuosamente,adverbio,tem pes tuo sa men te,5
templadamente,adverbio,tem pla da men te,4
temporalmente,adverbio,tem po ral men te,4
tempranamente,adverbio,tem pra na men te,4
tempranito,adverbio,tem pra ni to,3
temprano,adverbio,tem pra no,2
tenebrosamente,adverbio,te ne bro sa men te,5
tentativamente,adverbio,ten ta ti va men te,5
teóricamente,adverbio,te ó ri ca men te,2
ter,adverbio,ter,1
tercamente,adverbio,ter ca men te,3
terminantemente,adverbio,ter mi nan te men te,5
terriblemente,adverbio,te rri ble men te,4
territorialmente,adverbio,te rri to rial men te,5
textualmente,adverbio,tex tual men te,3
tibiamente,adverbio,ti bia men te,3
tieso,adverbio,tie so,1
tiesto,adverbio,ties to,1
tímidamente,adverbio,tí mi da men te,1
todavía,adverbio,to da ví a,3
todo,adverbio,to do,1
tolerablemente,adverbio,to le ra ble men te,5
tontamente,adverbio,ton ta men te,3
torcidamente,adverbio,tor ci da men te,4
torpemente,adverbio,tor pe men te,3
tortuosamente,adverbio,tor tuo sa men te,4
toscamente,adverbio,tos ca men te,3
total,adverbio,to tal,2
totalmente,adverbio,to tal men te,3
trabajosamente,adverbio,tra ba jo sa men te,5
tradicionalmente,adverbio,tra di cio nal men te,5
trágicamente,adverbio,trá gi ca men te,1
traidoramente,adverbio,trai do ra men te,4
tranquilamente,adverbio,tran qui la men te,4
transitoriamente,adverbio,tran si to ria men te,5
transversalmente,adverbio,trans ver sal men te,4
trasanteayer,adverbio,tra san te a yer,5
trestanto,adverbio,tres tan to,2
triangularmente,adverbio,trian gu lar men te,4
trimestralmente,adverbio,tri mes tral men te,4
tristemente,adverbio,tris te men te,3
triunfalmente,adverbio,triun fal men te,3
triunfantemente,adverbio,triun fan te men te,4
trivialmente,adverbio,tri vial men te,3
trocadamente,adverbio,tro ca da men te,4
tumultuariamente,adverbio,tu mul tua ria men te,5
tumultuosamente,adverbio,tu mul tuo sa men te,5
turbadamente,adverbio,tur ba da men te,4
turbiamente,adverbio,tur bia men te,3
turbulentamente,adverbio,tur bu len ta men te,5
ufanamente,adverbio,u fa na men te,4
ulteriormente,adverbio,ul te rior men te,4
últimamente,adverbio,úl ti ma men te,1
último,adverbio,úl ti mo,1
ultra,adverbio,ul tra,1
ultratumba,adverbio,ul tra tum ba,3
unánimemente,adverbio,u ná ni me men te,2
únicamente,adverbio,ú ni ca men te,1
unidamente,adverbio,u ni da men te,4
uniformemente,adverbio,u ni for me men te,5
universalmente,adverbio,u ni ver sal men te,5
urbanamente,adverbio,ur ba na men te,4
urgentemente,adverbio,ur gen te men te,4
usualmente,adverbio,u sual men te,3
usurariamente,adverbio,u su ra ria men te,5
útilmente,adverbio,ú til men te,1
vagamente,adverbio,va ga men te,3
valerosamente,adverbio,va le ro sa men te,5
válidamente,adverbio,vá li da men te,1
valientemente,adverbio,va lien te men te,4
vanagloriosamente,adverbio,va na glo rio sa men te,6
vanamente,adverbio,va na men te,3
variablemente,adverbio,va ria ble men te,4
varonilmente,adverbio,va ro nil men te,4
vehementemente,adverbio,ve he men te men te,5
velozmente,adverbio,ve loz men te,3
venerablemente,adverbio,ve ne ra ble men te,5
venialmente,adverbio,ve nial men te,3
ventajosamente,adverbio,ven ta jo sa men te,5
venturosamente,adverbio,ven tu ro sa men te,5
verbalmente,adverbio,ver bal men te,3
verbigracia,adverbio,ver bi gra cia,3
verdaderamente,adverbio,ver da de ra men te,5
vergonzosamente,adverbio,ver gon zo sa men te,5
verosímilmente,adverbio,ve ro sí mil men te,3
verticalmente,adverbio,ver ti cal men te,4
vertiginosamente,adverbio,ver ti gi no sa men te,6
viceversa,adverbio,vi ce ver sa,3
viciosamente,adverbio,vi cio sa men te,4
victoriosamente,adverbio,vic to rio sa men te,5
vigorosamente,adverbio,vi go ro sa men te,5
villanamente,adverbio,vi lla na men te,4
vilmente,adverbio,vil men te,2
violentamente,adverbio,vio len ta men te,4
virilmente,adverbio,vi ril men te,3
virtualmente,adverbio,vir tual men te,3
virtuosamente,adverbio,vir tuo sa men te,4
visiblemente,adverbio,vi si ble men te,4
vistosamente,adverbio,vis to sa men te,4
visualmente,adverbio,vi sual men te,3
vivamente,adverbio,vi va men te,3
vocalmente,adverbio,vo cal men te,3
volando,adverbio,vo lan do,2
voluntariamente,adverbio,vo lun ta ria men te,5
voluntariosamente,adverbio,vo lun ta rio sa men te,6
voluptuosamente,adverbio,vo lup tuo sa men te,5
vorazmente,adverbio,vo raz men te,3
vulgarmente,adverbio,vul gar men te,3
vulgo,adverbio,vul go,1
y,adverbio,y,1
ya,adverbio,ya,1
yunto,adverbio,yun to,1
yuso,adverbio,yu so,1
zafiamente,adverbio,za fia men te,3
zaga,adverbio,za ga,1
zarrapastrosamente,adverbio,za rra pas tro sa men te,6
chévere,adverbio,ché ve re,1
dizque,adverbio,diz que,1
chévere,adverbio,ché ve re,1
enantes,adverbio,e nan tes,2
hasta,adverbio,has ta,1
dizque,adverbio,diz que,1
hasta,adverbio,has ta,1
dizque,adverbio,diz que,1
nomás,adverbio,no más,2
hasta,adverbio,has ta,1
chupi,adverbio,chu pi,1
guay,adverbio,guay,1
chévere,adverbio,ché ve re,1
dizque,adverbio,diz que,1
hasta,adverbio,has ta,1
nomás,adverbio,no más,2
chévere,adverbio,ché ve re,1
dizque,adverbio,diz que,1
enantes,adverbio,e nan tes,2
dizque,adverbio,diz que,1
enantes,adverbio,e nan tes,2
dizque,adverbio,diz que,1
hasta,adverbio,has ta,1
chévere,adverbio,ché ve re,1
dizque,adverbio,diz que,1
chévere,adverbio,ché ve re,1
dizque,adverbio,diz que,1
enantes,adverbio,e nan tes,2
sabroso,adverbio,sa bro so,2
dizque,adverbio,diz que,1
dizque,adverbio,diz que,1
nomás,adverbio,no más,2
hasta,adverbio,has ta,1
dizque,adverbio,diz que,1
dizque,adverbio,diz que,1
sabroso,adverbio,sa bro so,2
dizque,adverbio,diz que,1
regio,adverbio,re gio,1
dizque,adverbio,diz que,1
dizque,adverbio,diz que,1
nomás,adverbio,no más,2
hasta,adverbio,has ta,1
dizque,adverbio,diz que,1
nomás,adverbio,no más,2
dizque,adverbio,diz que,1
nomás,adverbio,no más,2
regio,adverbio,re gio,1
abandonadamente,adverbio,a ban do na da men te,6
abarrotadamente,adverbio,a ba rro ta da men te,6
aberrantemente,adverbio,a be rran te men te,5
abismalmente,adverbio,a bis mal men te,4
abrumadoramente,adverbio,a bru ma do ra men te,6
abruptamente,adverbio,a brup ta men te,4
abultadamente,adverbio,a bul ta da men te,5
abundosamente,adverbio,a bun do sa men te,5
acarameladamente,adverbio,a ca ra me la da men te,7
acartonadamente,adverbio,a car to na da men te,6
acerosamente,adverbio,a ce ro sa men te,5
ácidamente,adverbio,á ci da men te,1
acobardadamente,adverbio,a co bar da da men te,6
acojonadamente,adverbio,a co jo na da men te,6
acongojadamente,adverbio,a con go ja da men te,6
acusativamente,adverbio,a cu sa ti va men te,6
acusatoriamente,adverbio,a cu sa to ria men te,6
adicionalmente,adverbio,a di cio nal men te,5
admirablemente,adverbio,ad mi ra ble men te,5
afanadamente,adverbio,a fa na da men te,5
afectuosamente,adverbio,a fec tuo sa men te,5
afrutadamente,adverbio,a fru ta da men te,5
agitadamente,adverbio,a gi ta da men te,5
ahincadamente,adverbio,ahin ca da men te,4
ahogadamente,adverbio,a ho ga da men te,5
alambicadamente,adverbio,a lam bi ca da men te,6
alardosamente,adverbio,a lar do sa men te,5
alargadamente,adverbio,a lar ga da men te,5
alborotadamente,adverbio,al bo ro ta da men te,6
alemanamente,adverbio,a le ma na men te,5
alentadoramente,adverbio,a len ta do ra men te,6
alquitranadamente,adverbio,al qui tra na da men te,6
altaneramente,adverbio,al ta ne ra men te,5
altivamente,adverbio,al ti va men te,4
amaderadamente,adverbio,a ma de ra da men te,6
amaneradamente,adverbio,a ma ne ra da men te,6
amenazadoramente,adverbio,a me na za do ra men te,7
amistosamente,adverbio,a mis to sa men te,5
amuermadamente,adverbio,a muer ma da men te,5
analmente,adverbio,a nal men te,3
angélicamente,adverbio,an gé li ca men te,2
animadamente,adverbio,a ni ma da men te,5
anónimamente,adverbio,a nó ni ma men te,2
anormalmente,adverbio,a nor mal men te,4
ansiosamente,adverbio,an sio sa men te,4
apabullantemente,adverbio,a pa bu llan te men te,6
apáticamente,adverbio,a pá ti ca men te,2
aplastantemente,adverbio,a plas tan te men te,5
apreciativamente,adverbio,a pre cia ti va men te,6
apresuradamente,adverbio,a pre su ra da men te,6
arrogantemente,adverbio,a rro gan te men te,5
arteramente,adverbio,ar te ra men te,4
artísticamente,adverbio,ar tís ti ca men te,2
aseguradamente,adverbio,a se gu ra da men te,6
asexualmente,adverbio,a se xual men te,4
asiduamente,adverbio,a si dua men te,4
asoladoramente,adverbio,a so la do ra men te,6
astutamente,adverbio,as tu ta men te,4
atentadamente,adverbio,a ten ta da men te,5
atentísimamente,adverbio,a ten tí si ma men te,3
aterradoramente,adverbio,a te rra do ra men te,6
atolondradamente,adverbio,a to lon dra da men te,6
atontadamente,adverbio,a ton ta da men te,5
atrozmente,adverbio,a troz men te,3
auditivamente,adverbio,au di ti va men te,5
auricularmente,adverbio,au ri cu lar men te,5
auténticamente,adverbio,au tén ti ca men te,2
autónomamente,adverbio,au tó no ma men te,2
autoritariamente,adverbio,au to ri ta ria men te,6
ávidamente,adverbio,á vi da men te,1
avinagradamente,adverbio,a vi na gra da men te,6
axialmente,adverbio,a xial men te,3
bailonamente,adverbio,bai lo na men te,4
balbuceantemente,adverbio,bal bu ce an te men te,6
bárbaramente,adverbio,bár ba ra men te,1
barbudamente,adverbio,bar bu da men te,4
basalmente,adverbio,ba sal men te,3
beatíficamente,adverbio,be a tí fi ca men te,3
benditamente,adverbio,ben di ta men te,4
bestialmente,adverbio,bes tial men te,3
bienintencionadamente,adverbio,bie nin ten cio na da men te,7
biológicamente,adverbio,bio ló gi ca men te,2
blancamente,adverbio,blan ca men te,3
bondadosamente,adverbio,bon da do sa men te,5
bonitamente,adverbio,bo ni ta men te,4
borrosamente,adverbio,bo rro sa men te,4
brevemente,adverbio,bre ve men te,3
bucalmente,adverbio,bu cal men te,3
burlonamente,adverbio,bur lo na men te,4
cabezonamente,adverbio,ca be zo na men te,5
cabizbajamente,adverbio,ca biz ba ja men te,5
cacofónicamente,adverbio,ca co fó ni ca men te,3
calcadamente,adverbio,cal ca da men te,4
calenturientamente,adverbio,ca len tu rien ta men te,6
calientemente,adverbio,ca lien te men te,4
calmadamente,adverbio,cal ma da men te,4
cambiadamente,adverbio,cam bia da men te,4
cambiantemente,adverbio,cam bian te men te,4
cándidamente,adverbio,cán di da men te,1
candorosamente,adverbio,can do ro sa men te,5
cansinamente,adverbio,can si na men te,4
cañeramente,adverbio,ca ñe ra men te,4
capciosamente,adverbio,cap cio sa men te,4
caprichosamente,adverbio,ca pri cho sa men te,5
carbónicamente,adverbio,car bó ni ca men te,2
cargadamente,adverbio,car ga da men te,4
cariñosamente,adverbio,ca ri ño sa men te,5
carraspeantemente,adverbio,ca rras pe an te men te,6
casposamente,adverbio,cas po sa men te,4
castamente,adverbio,cas ta men te,3
catastróficamente,adverbio,ca tas tró fi ca men te,3
católicamente,adverbio,ca tó li ca men te,2
caústicamente,adverbio,ca ús ti ca men te,2
cautelosamente,adverbio,cau te lo sa men te,5
cazurramente,adverbio,ca zu rra men te,4
ceceantemente,adverbio,ce ce an te men te,5
célebremente,adverbio,cé le bre men te,1
centralmente,adverbio,cen tral men te,3
ceremoniosamente,adverbio,ce re mo nio sa men te,6
certeramente,adverbio,cer te ra men te,4
chapuceramente,adverbio,cha pu ce ra men te,5
chirriantemente,adverbio,chi rrian te men te,4
chocantemente,adverbio,cho can te men te,4
cínicamente,adverbio,cí ni ca men te,1
clarividentemente,adverbio,cla ri vi den te men te,6
cobardemente,adverbio,co bar de men te,4
coincidentemente,adverbio,coin ci den te men te,5
cojonudamente,adverbio,co jo nu da men te,5
colectivamente,adverbio,co lec ti va men te,5
coloquialmente,adverbio,co lo quial men te,4
comedidamente,adverbio,co me di da men te,5
cómicamente,adverbio,có mi ca men te,1
complementariamente,adverbio,com ple men ta ria men te,6
compungidamente,adverbio,com pun gi da men te,5
concadenadamente,adverbio,con ca de na da men te,6
concatenadamente,adverbio,con ca te na da men te,6
concéntricamente,adverbio,con cén tri ca men te,2
conceptualmente,adverbio,con cep tual men te,4
concretamente,adverbio,con cre ta men te,4
condenadamente,adverbio,con de na da men te,5
conscientemente,adverbio,cons cien te men te,4
consumadamente,adverbio,con su ma da men te,5
contentadamente,adverbio,con ten ta da men te,5
contentamente,adverbio,con ten ta men te,4
convulsivamente,adverbio,con vul si va men te,5
cortadamente,adverbio,cor ta da men te,4
cortesísimamente,adverbio,cor te sí si ma men te,3
cortésmente,adverbio,cor tés men te,2
criptográficamente,adverbio,crip to grá fi ca men te,3
cristalinamente,adverbio,cris ta li na men te,5
cristianamente,adverbio,cris tia na men te,4
cualitativamente,adverbio,cua li ta ti va men te,6
cuánticamente,adverbio,cuán ti ca men te,1
cuestionablemente,adverbio,cues tio na ble men te,5
cuidadamente,adverbio,cui da da men te,4
curtidamente,adverbio,cur ti da men te,4
dactilarmente,adverbio,dac ti lar men te,4
dantescamente,adverbio,dan tes ca men te,4
decimalmente,adverbio,de ci mal men te,4
decisivamente,adverbio,de ci si va men te,5
decorativamente,adverbio,de co ra ti va men te,6
decorosamente,adverbio,de co ro sa men te,5
dedicadamente,adverbio,de di ca da men te,5
deductivamente,adverbio,de duc ti va men te,5
deliciosamente,adverbio,de li cio sa men te,5
democráticamente,adverbio,de mo crá ti ca men te,3
densamente,adverbio,den sa men te,3
deportivamente,adverbio,de por ti va men te,5
desaboridamente,adverbio,de sa bo ri da men te,6
desaforadamente,adverbio,de sa fo ra da men te,6
desafortunadamente,adverbio,de sa for tu na da men te,7
desahogadamente,adverbio,de sa ho ga da men te,6
desalmadamente,adverbio,de sal ma da men te,5
desalumbradamente,adverbio,de sa lum bra da men te,6
desbarajustadamente,adverbio,des ba ra jus ta da men te,7
descabelladamente,adverbio,des ca be lla da men te,6
descansadamente,adverbio,des can sa da men te,5
desconcertantemente,adverbio,des con cer tan te men te,6
desdeñablemente,adverbio,des de ña ble men te,5
desdeñosamente,adverbio,des de ño sa men te,5
desenfadadamente,adverbio,de sen fa da da men te,6
desenfrenadamente,adverbio,de sen fre na da men te,6
desesperadamente,adverbio,de ses pe ra da men te,6
desganadamente,adverbio,des ga na da men te,5
desgastadamente,adverbio,des gas ta da men te,5
desoladamente,adverbio,de so la da men te,5
desoladoramente,adverbio,de so la do ra men te,6
despiadadamente,adverbio,des pia da da men te,5
despilfarradoramente,adverbio,des pil fa rra do ra men te,7
despóticamente,adverbio,des pó ti ca men te,2
despreocupadamente,adverbio,des pre o cu pa da men te,7
desproporcionadamente,adverbio,des pro por cio na da men te,7
devotamente,adverbio,de vo ta men te,4
diabólicamente,adverbio,dia bó li ca men te,2
didácticamente,adverbio,di dác ti ca men te,2
digitalmente,adverbio,di gi tal men te,4
discrecionalmente,adverbio,dis cre cio nal men te,5
discursivamente,adverbio,dis cur si va men te,5
dispersamente,adverbio,dis per sa men te,4
distantemente,adverbio,dis tan te men te,4
distendidamente,adverbio,dis ten di da men te,5
distintamente,adverbio,dis tin ta men te,4
distraídamente,adverbio,dis tra í da men te,3
doblegadamente,adverbio,do ble ga da men te,5
documentalmente,adverbio,do cu men tal men te,5
dorsalmente,adverbio,dor sal men te,3
drásticamente,adverbio,drás ti ca men te,1
dubitosamente,adverbio,du bi to sa men te,5
ducalmente,adverbio,du cal men te,3
ebriamente,adverbio,e bria men te,3
edulcoradamente,adverbio,e dul co ra da men te,6
efusivamente,adverbio,e fu si va men te,5
egoístamente,adverbio,e go ís ta men te,3
elaboradamente,adverbio,e la bo ra da men te,6
elásticamente,adverbio,e lás ti ca men te,2
eléctricamente,adverbio,e léc tri ca men te,2
elongadamente,adverbio,e lon ga da men te,5
emparejadamente,adverbio,em pa re ja da men te,6
empáticamente,adverbio,em pá ti ca men te,2
empecinadamente,adverbio,em pe ci na da men te,6
empeñadamente,adverbio,em pe ña da men te,5
emprendedoramente,adverbio,em pren de do ra men te,6
encandiladamente,adverbio,en can di la da men te,6
encantadoramente,adverbio,en can ta do ra men te,6
encasilladamente,adverbio,en ca si lla da men te,6
endemoniadamente,adverbio,en de mo nia da men te,6
enervantemente,adverbio,e ner van te men te,5
enfadadamente,adverbio,en fa da da men te,5
enrredosamente,adverbio,en rre do sa men te,5
enternecedoramente,adverbio,en ter ne ce do ra men te,7
entretenidamente,adverbio,en tre te ni da men te,6
entusiastamente,adverbio,en tu sias ta men te,5
ergonómicamente,adverbio,er go nó mi ca men te,3
erráticamente,adverbio,e rrá ti ca men te,2
escatológicamente,adverbio,es ca to ló gi ca men te,4
esclarecidamente,adverbio,es cla re ci da men te,6
espartanamente,adverbio,es par ta na men te,5
espasmódicamente,adverbio,es pas mó di ca men te,3
espectacularmente,adverbio,es pec ta cu lar men te,6
espinosamente,adverbio,es pi no sa men te,5
esporádicamente,adverbio,es po rá di ca men te,3
estacionalmente,adverbio,es ta cio nal men te,5
estereoscópicamente,adverbio,es te re os có pi ca men te,5
estilísticamente,adverbio,es ti lís ti ca men te,3
estrambóticamente,adverbio,es tram bó ti ca men te,3
estrechísimamente,adverbio,es tre chí si ma men te,3
estructuralmente,adverbio,es truc tu ral men te,5
étnicamente,adverbio,ét ni ca men te,1
evasivamente,adverbio,e va si va men te,5
excepcionalmente,adverbio,ex cep cio nal men te,5
execrablemente,adverbio,e xe cra ble men te,5
exhuberantemente,adverbio,e xhu be ran te men te,6
exitosamente,adverbio,e xi to sa men te,5
exóticamente,adverbio,e xó ti ca men te,2
expectantemente,adverbio,ex pec tan te men te,5
expedientemente,adverbio,ex pe dien te men te,5
explícitamente,adverbio,ex plí ci ta men te,2
exponencialmente,adverbio,ex po nen cial men te,5
exultantemente,adverbio,e xul tan te men te,5
factiblemente,adverbio,fac ti ble men te,4
fácticamente,adverbio,fác ti ca men te,1
famosamente,adverbio,fa mo sa men te,4
fanfarronamente,adverbio,fan fa rro na men te,5
fascinantemente,adverbio,fas ci nan te men te,5
fehacientemente,adverbio,fe ha cien te men te,5
felicísimamente,adverbio,fe li cí si ma men te,3
femeninamente,adverbio,fe me ni na men te,5
férreamente,adverbio,fé rre a men te,1
filosóficamente,adverbio,fi lo só fi ca men te,3
financieramente,adverbio,fi nan cie ra men te,5
fisgonamente,adverbio,fis go na men te,4
floralmente,adverbio,flo ral men te,3
fogosamente,adverbio,fo go sa men te,4
folclóricamente,adverbio,fol cló ri ca men te,2
fonéticamente,adverbio,fo né ti ca men te,2
fortísimamente,adverbio,for tí si ma men te,2
fracasadamente,adverbio,fra ca sa da men te,5
fraccionariamente,adverbio,frac cio na ria men te,5
francesamente,adverbio,fran ce sa men te,4
frígidamente,adverbio,frí gi da men te,1
frontalmente,adverbio,fron tal men te,3
fulminantemente,adverbio,ful mi nan te men te,5
funcionalmente,adverbio,fun cio nal men te,4
futbolísticamente,adverbio,fut bo lís ti ca men te,3
futilmente,adverbio,fu til men te,3
galvánicamente,adverbio,gal vá ni ca men te,2
gatunamente,adverbio,ga tu na men te,4
genéticamente,adverbio,ge né ti ca men te,2
geológicamente,adverbio,ge o ló gi ca men te,3
gesticulantemente,adverbio,ges ti cu lan te men te,6
globalmente,adverbio,glo bal men te,3
gravitacionalmente,adverbio,gra vi ta cio nal men te,6
guapamente,adverbio,gua pa men te,3
guarramente,adverbio,gua rra men te,3
hambrientamente,adverbio,ham brien ta men te,4
hereditariamente,adverbio,he re di ta ria men te,6
hidráulicamente,adverbio,hi dráu li ca men te,2
hipócritamente,adverbio,hi pó cri ta men te,2
histriónicamente,adverbio,his trió ni ca men te,2
humillantemente,adverbio,hu mi llan te men te,5
identificativamente,adverbio,i den ti fi ca ti va men te,8
ideológicamente,adverbio,i de o ló gi ca men te,4
idolatradamente,adverbio,i do la tra da men te,6
idóneamente,adverbio,i dó ne a men te,2
igualitariamente,adverbio,i gua li ta ria men te,6
imparablemente,adverbio,im pa ra ble men te,5
impecablemente,adverbio,im pe ca ble men te,5
impensablemente,adverbio,im pen sa ble men te,5
imponentemente,adverbio,im po nen te men te,5
impulsivamente,adverbio,im pul si va men te,5
indiscutiblemente,adverbio,in dis cu ti ble men te,6
indómitamente,adverbio,in dó mi ta men te,2
indubitablemente,adverbio,in du bi ta ble men te,6
ingénitamente,adverbio,in gé ni ta men te,2
inherentemente,adverbio,i nhe ren te men te,5
ininterrumpidamente,adverbio,i nin te rrum pi da men te,7
innoblemente,adverbio,in no ble men te,4
insalubremente,adverbio,in sa lu bre men te,5
